frame,vehicle_id,vehicle_bbox,vehicle_type,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
212,1,2109.0121032552915 1612.91548819353 2862.922375598706 2154.048919047907,car,2379.062255859375 2016.6591796875 2649.0849609375 2103.480712890625,0.5389642715454102,4P053E0,0.16759717564425816
213,1,2113.4944600673953 1621.3352412131667 2869.155239179323 2156.347105257068,unknown,2382.071533203125 2019.2303466796875 2624.37451171875 2115.49169921875,0.6288540959358215,4P0S3E0,0.4619332665806653
214,1,2115.831619474411 1627.9678611346874 2869.4472441122125 2157.9325297824525,unknown,2384.501220703125 2027.447021484375 2647.657470703125 2123.50439453125,0.6298601031303406,4P0S3E0,0.32926403914805524
215,1,2112.3163994169427 1635.0716338145671 2865.8862030394466 2159.586175883681,unknown,2387.203857421875 2034.5247802734375 2647.953369140625 2133.19873046875,0.5370166897773743,4P0S3E0,0.3635240803520635
216,1,2112.596120060262 1643.0933887755114 2866.078904073162 2159.6717246940652,unknown,2378.7998046875 2052.769287109375 2671.0078125 2140.927978515625,0.6140645146369934,4P053E0,0.23851342847411366
217,1,2112.5296011002165 1649.6755905089383 2865.990894437912 2158.925391598525,unknown,2377.32080078125 2054.2822265625 2669.0224609375 2152.59521484375,0.6740962266921997,4P053E0,0.15684173173610397
218,1,2121.9942579606723 1657.1423598828078 2873.680955544468 2158.7328681912963,unknown,2376.03515625 2071.60400390625 2653.489013671875 2156.85107421875,0.6188510060310364,4P053E0,0.4540256111314066
0,3,752.2139892578125 1369.3121337890625 1429.3065185546875 1984.0484619140625,car,974.8357543945312 1753.40380859375 1199.5994873046875 1851.191650390625,0.5669248700141907,N41JNPU,0.3214015999618706
1,3,750.7361538107078 1374.2024826171903 1425.7284015219652 1991.5582416230961,car,975.324462890625 1765.396484375 1203.47021484375 1862.9620361328125,0.535774827003479,N413MPU,0.13818122246185596
2,3,746.3713935730393 1379.7539229378388 1425.6627931536193 2001.7511446973563,Unknown,969.1492411295573 1772.1600748697917 1200.5030314127605 1870.973124186198,0,0,0
3,3,742.0066333353708 1385.3053632584872 1425.5971847852736 2011.9440477716162,Unknown,962.9740193684896 1778.9236653645833 1197.5358479817708 1878.9842122395833,0,0,0
4,3,737.6418730977023 1390.8568035791359 1425.5315764169277 2022.136950845876,Unknown,956.7987976074219 1785.687255859375 1194.5686645507812 1886.9953002929688,0,0,0
5,3,733.2771128600336 1396.4082438997843 1425.4659680485818 2032.3298539201362,Unknown,950.6235758463541 1792.4508463541667 1191.6014811197917 1895.0063883463542,0,0,0
6,3,728.9123526223651 1401.9596842204328 1425.400359680236 2042.5227569943963,Unknown,944.4483540852865 1799.2144368489583 1188.634297688802 1903.0174763997395,0,0,0
7,3,724.5475923846966 1407.5111245410812 1425.3347513118902 2052.7156600686562,car,938.2731323242188 1805.97802734375 1185.6671142578125 1911.028564453125,0.563228189945221,1N413NRU,0.1757855728297296
8,3,719.34351236985 1413.582813715926 1421.7871084383924 2058.1886314916765,car,954.4998779296875 1824.6705322265625 1172.0086669921875 1918.4849853515625,0.5394648909568787,N413NRU,0.43149204849982004
