frame,vehicle_id,vehicle_bbox,vehicle_type,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
75,6.0,[1049.2421332684532 1277.4354774937938 1682.2541497937375 1779.5236633491477],car,[1273.185546875 1594.10498046875 1448.7454833984375 1669.4737548828125],0.5087228417396545,6Y15063,0.22099570832348217
76,6.0,[1046.2796572746859 1279.058888588981 1685.638603993437 1782.6676931678999],car,[1260.3277587890625 1595.6986083984375 1446.4696044921875 1680.760986328125],0.5334712862968445,6X15063,0.4003759426141954
77,6.0,[1043.3259972492783 1282.2461444318978 1687.0488183521757 1789.9151902202134],car,[1270.855224609375 1593.8323974609375 1455.77783203125 1683.1864013671875],0.5961354374885559,6X15063,0.2338403367451039
79,6.0,[1035.5630373718814 1291.4252244025583 1684.9344997010949 1804.5625053332174],car,[1262.4012451171875 1607.1983642578125 1458.802734375 1695.5401611328125],0.5210775136947632,6X15063,0.4344070905564872
80,6.0,[1029.3994022886616 1297.034971764118 1682.849982428712 1810.6454632118225],car,[1261.7398681640625 1626.8250732421875 1430.3507080078125 1704.8565673828125],0.5551195740699768,6X150631,0.10116121884287987
82,6.0,[1017.2265245215071 1308.0690032149155 1678.7972987159255 1825.2561028697755],car,[1248.878173828125 1633.0460205078125 1443.19189453125 1717.5858154296875],0.5122249126434326,6X15063,0.4653904022650345
84,6.0,[1009.4219417074127 1323.0194203592855 1682.211358431843 1846.4060036248788],car,[1228.509521484375 1641.9595947265625 1437.0076904296875 1729.278564453125],0.5614857077598572,O6X15063,0.23364467419102147
87,6.0,[997.2188656111765 1333.763710470634 1683.4597754816173 1864.7765866897728],car,[1244.54296875 1669.541748046875 1435.1414794921875 1753.1546630859375],0.5215151309967041,6X15063,0.271336157276764
88,6.0,[995.4760417834418 1335.0555913430517 1684.1471697984462 1869.9611351838093],car,[1245.9283447265625 1672.8526611328125 1438.31884765625 1756.229736328125],0.5586779117584229,6X1S063,0.22997973032722516
89,6.0,[994.1481220729673 1339.8233581484262 1685.0883815459142 1874.613492936195],car,[1237.053466796875 1681.8453369140625 1433.716552734375 1765.9361572265625],0.5787187218666077,6X15063,0.24246946475522826
90,6.0,[994.4153566306434 1348.556167877216 1686.6831676621825 1885.6024004319397],car,[1229.110107421875 1685.361083984375 1427.8165283203125 1772.9664306640625],0.56866854429245,6X1S063,0.2641783730232797
91,6.0,[993.058040744733 1353.535608472393 1686.3435933109547 1893.1367029943208],car,[1231.16357421875 1692.3240966796875 1435.7938232421875 1782.9276123046875],0.5943872332572937,6X15063,0.4600079191136029
93,6.0,[979.0731559006528 1366.1686359445157 1685.3070806911442 1907.3951630039428],car,[1227.2774658203125 1701.4124755859375 1435.8680419921875 1794.305908203125],0.5092753171920776,6X15063,0.23619619853303087
95,6.0,[971.5249582039487 1371.8432278565717 1684.3359672645302 1919.0181500027059],car,[1223.6357421875 1716.8431396484375 1426.35498046875 1802.43212890625],0.5822159647941589,6X15063,0.37224293824154614
96,6.0,[969.2307477129632 1379.2352246445603 1683.280663500704 1929.070820946352],car,[1217.3697509765625 1728.62841796875 1433.4193115234375 1813.4520263671875],0.5468125939369202,6X15063,0.44761976942331316
97,6.0,[964.6503121394518 1383.1692090689696 1681.8382039171715 1936.3738197151413],car,[1214.822998046875 1732.3773193359375 1426.6829833984375 1813.5355224609375],0.5870850086212158,6X15063,0.6071067523004239
98,6.0,[961.8554700823942 1391.3426067236064 1681.148486897177 1946.3739152548583],car,[1220.805908203125 1741.981689453125 1421.3272705078125 1827.442138671875],0.6389996409416199,6X150C3,0.5074530581582406
100,6.0,[955.2609773419963 1406.4125754174604 1676.8354014871898 1964.2110620082856],car,[1198.587158203125 1746.281982421875 1422.23583984375 1836.5302734375],0.5682804584503174,6X150C3,0.40090006769946984
101,6.0,[951.3852159578155 1411.650579844223 1676.8851981331254 1972.5207276336155],car,[1199.7000732421875 1765.9222412109375 1414.22021484375 1848.3643798828125],0.5543524026870728,6Y15QC3,0.33656242582153434
102,6.0,[946.8542760430769 1418.1360125136327 1675.0001580146486 1980.5133157262665],car,[1209.3094482421875 1773.0977783203125 1410.6689453125 1856.2056884765625],0.5975240468978882,6Y150C3,0.3829764641259859
106,6.0,[944.7375509438884 1442.6665916758727 1672.929198946887 2010.0378179533707],car,[1180.6923828125 1792.424560546875 1385.7886962890625 1885.26708984375],0.5754561424255371,6X15063,0.3353087225820579
107,6.0,[939.5171265863266 1450.5823098068158 1670.7035723116412 2019.5557219864245],car,[1193.693359375 1808.0621337890625 1390.488525390625 1894.5450439453125],0.5621404051780701,6X15063,0.5869107732551357
108,6.0,[935.036204850205 1459.3441333777698 1668.5122311098223 2031.2980821975596],car,[1192.3271484375 1817.8433837890625 1395.184814453125 1903.7110595703125],0.5834102630615234,6X15063,0.33630768112556875
109,6.0,[929.8466464690975 1463.2392930407236 1664.987500118045 2038.8301346886788],car,[1168.4615478515625 1820.630126953125 1394.8092041015625 1913.483642578125],0.6031328439712524,16X150C3,0.23402932727442077
110,6.0,[927.6148711311791 1469.4652228938714 1664.0469570673383 2047.766140938694],car,[1181.051513671875 1831.5238037109375 1385.91357421875 1925.4085693359375],0.6219131350517273,6Y15063,0.3349090755800688
111,6.0,[925.9899875101042 1477.4403772961778 1661.7875003818003 2057.2512307495513],car,[1181.323974609375 1839.2581787109375 1380.9498291015625 1931.2928466796875],0.6106203198432922,6Y15063,0.33499501949382327
112,6.0,[924.5871155078332 1483.0916515767753 1662.1378445254716 2064.0570716670622],car,[1164.18017578125 1840.364501953125 1385.2529296875 1935.447509765625],0.571514904499054,6X15063,0.4465397644810258
114,6.0,[911.2618764824308 1498.2881894734137 1657.447053877169 2087.1412717762623],unknown,[1161.275146484375 1866.4010009765625 1381.657470703125 1962.3035888671875],0.6095502972602844,6X15063,0.5125606304016536
115,6.0,[905.7170795803618 1503.895094906962 1656.6598279892974 2095.1626139618447],car,[1160.0126953125 1871.0892333984375 1383.16259765625 1963.3238525390625],0.5740824937820435,6X150C3,0.4269064229812769
116,6.0,[900.1914645032118 1510.1643116486634 1654.2489966269657 2101.5614151713858],car,[1155.6259765625 1882.97314453125 1381.6820068359375 1974.2783203125],0.6251025795936584,6X15063,0.3454231214461906
117,6.0,[896.6282981911578 1517.9121962701238 1652.241000744878 2109.013200273302],car,[1147.5897216796875 1888.5208740234375 1381.9742431640625 1984.7772216796875],0.5725322961807251,6Y15063,0.22282746578198998
119,6.0,[892.00414164832 1529.0340500998036 1652.2634182604634 2116.757300136198],car,[1151.6510009765625 1909.253173828125 1368.484130859375 1999.256103515625],0.6070479154586792,6X1S063,0.27113025345517455
120,6.0,[883.1741279186047 1536.1903449969755 1649.8298830265646 2123.6153334577093],car,[1146.30078125 1914.317138671875 1373.9697265625 2010.7353515625],0.6341438293457031,6Y15063,0.12113007550645669
121,6.0,[876.7923767131283 1542.7035856745945 1648.4436901433783 2130.7562032230358],car,[1143.736083984375 1920.30517578125 1376.8848876953125 2014.4342041015625],0.6111721396446228,6Y150C3,0.46965844204508383
122,6.0,[872.7545782193068 1551.2472148207837 1647.4642445215222 2140.363410114823],car,[1139.3572998046875 1932.1124267578125 1363.5203857421875 2021.3514404296875],0.5904516577720642,6Y150C3,0.5128770040184305
124,6.0,[865.0535988259289 1563.0951041359115 1645.1810953183176 2150.59668907566],car,[1135.6563720703125 1946.750732421875 1345.30224609375 2036.55810546875],0.5042362809181213,6Y15U63,0.4028157357341801
125,6.0,[862.8777969408177 1570.1053112300992 1645.6338055694866 2153.7668539675906],car,[1138.798828125 1959.6060791015625 1350.710205078125 2052.628662109375],0.6256528496742249,6Y15063,0.5456129107012543
126,6.0,[857.1335916948543 1581.0038014050783 1644.8516370107 2156.9827423959223],unknown,[1125.6273193359375 1972.3602294921875 1339.426025390625 2070.005859375],0.6520653367042542,6Y15063,0.2624006862243948
127,6.0,[851.679934027276 1588.0274876412468 1642.703183539868 2157.120612763338],unknown,[1122.700927734375 1979.662841796875 1340.1895751953125 2071.9453125],0.618177056312561,6Y15063,0.6574522823621388
127,1.0,[2048.9740843362465 1188.3232274390114 2596.641270796104 1655.1486584116294],car,[2223.6796875 1470.5833740234375 2446.93359375 1557.8514404296875],0.5025555491447449,4P053E0,0.41729847923207125
128,6.0,[846.3029049580568 1595.8054575638305 1641.5529870922087 2157.2294094119425],unknown,[1107.686279296875 1982.2108154296875 1334.524658203125 2079.627197265625],0.6023555397987366,6X15063,0.35900599006045913
129,6.0,[839.8143904563442 1601.5294535734074 1639.126307889536 2155.4470848601713],unknown,[1113.3709716796875 1996.6673583984375 1339.9566650390625 2089.74267578125],0.6070359349250793,6X15063,0.4535398436113067
130,6.0,[834.3938596932661 1609.2395307842905 1638.7897066949104 2155.5729541553],unknown,[1118.23876953125 2012.2119140625 1321.7923583984375 2098.73291015625],0.6543006300926208,6Y15063,0.5333780475368918
130,34.0,[2244.1354211800804 1623.0815086982395 2978.9246465160845 2152.3786272683496],unknown,[2513.132568359375 1986.6822509765625 2728.450927734375 2086.21826171875],0.5022552013397217,LMI3VCV,0.5251204378052938
131,6.0,[830.1701381982543 1614.604625348176 1635.5483206717863 2154.984266972909],unknown,[1103.7359619140625 2019.9873046875 1333.895263671875 2114.493896484375],0.6640065312385559,6X15063,0.47683735978118835
132,6.0,[831.9824929996962 1624.0752664900015 1635.8659976582571 2156.914180653721],unknown,[1095.48095703125 2025.760986328125 1335.3663330078125 2126.35693359375],0.6790463924407959,6X15063,0.4637897557964458
133,6.0,[831.9693971601913 1630.1400960922404 1632.878018154026 2157.6088053517633],unknown,[1085.75439453125 2029.7332763671875 1324.8143310546875 2122.235107421875],0.6598045825958252,6X15063,0.42503139971890636
133,34.0,[2244.041312420453 1643.6137963922886 2985.382647584764 2152.2550054086014],unknown,[2515.295654296875 2009.2672119140625 2742.932861328125 2114.585693359375],0.6526903510093689,LM13VCV,0.4742680445049491
134,6.0,[824.5531904570282 1637.191791406401 1626.3330712205036 2159.2224140324356],unknown,[1093.9423828125 2050.513427734375 1322.9344482421875 2148.8564453125],0.6562003493309021,6X15O63,0.21713724536683363
134,34.0,[2242.3566426485704 1651.708317020298 2986.2619327866505 2156.0029661423932],car,[2510.445556640625 2017.584228515625 2737.931396484375 2124.93408203125],0.6312745213508606,LM13VCV,0.6365283341415342
135,6.0,[815.0230570172505 1647.1568998818373 1619.903716643539 2162.9152841642217],unknown,[1082.2142333984375 2056.57421875 1328.3646240234375 2157.3115234375],0.6707850098609924,6R1S063,0.12039926820664928
135,34.0,[2243.2021943560085 1660.4717630341534 2989.08988986442 2159.403956895712],unknown,[2515.891845703125 2034.4398193359375 2744.528076171875 2135.67578125],0.6477678418159485,LM13VCV,0.34285749331040044
136,34.0,[2245.322090142163 1667.9504729790087 2990.572571814795 2162.272954864439],car,[2510.31640625 2033.392578125 2754.171142578125 2145.51416015625],0.686893105506897,LM13VCV,0.3463268665736799
136,6.0,[810.9890434722718 1653.1264774079768 1617.4778129290091 2163.006103422962],unknown,[1086.592529296875 2068.056884765625 1321.385009765625 2160.0],0.6579996943473816,6X15063,0.3343371128745094
137,1.0,[2042.1413588665873 1222.8589791584718 2613.3481953919627 1700.8096943798446],car,[2249.017333984375 1517.0277099609375 2465.506591796875 1615.1341552734375],0.6344539523124695,4P053E0,0.4239290626323344
137,34.0,[2248.690430254718 1674.8518125823628 2995.3340584321086 2161.5743420341105],unknown,[2522.918701171875 2052.254150390625 2751.817626953125 2155.063720703125],0.6139401197433472,LH13VCV,0.42409590180789286
138,34.0,[2250.8649402261035 1682.6142546586073 2996.963719666115 2161.1293990494405],unknown,[2525.11328125 2059.72412109375 2753.326416015625 2160.0],0.6423066854476929,LM13VCV,0.32054453399141497
